,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
114,Leave Before You Love Me (with Jonas Brothers),Marshmello,0.721,0.738,7.0,-4.77,1.0,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,spotify:track:4qu63nuBpdn0qHUHuObEj1,154983.0,4.0
115,Leave Before You Love Me (with Jonas Brothers),Jonas Brothers,0.721,0.738,7.0,-4.77,1.0,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,spotify:track:4qu63nuBpdn0qHUHuObEj1,154983.0,4.0
116,Lose Somebody,Kygo,0.58,0.586,1.0,-6.883,1.0,0.0357,0.344,0.0,0.0755,0.507,147.988,spotify:track:1sgDyuLooyvEML4oHspNza,199549.0,4.0
117,Lose Somebody,OneRepublic,0.58,0.586,1.0,-6.883,1.0,0.0357,0.344,0.0,0.0755,0.507,147.988,spotify:track:1sgDyuLooyvEML4oHspNza,199549.0,4.0
118,Heartbreak Anniversary,Giveon,0.443,0.459,0.0,-8.955,1.0,0.074,0.546,1.05e-06,0.307,0.565,87.064,spotify:track:27tDoZsybt3KvJWTDoW9id,198371.0,5.0
119,Intentions,Justin Bieber,0.811,0.553,9.0,-6.644,1.0,0.0552,0.317,0.0,0.105,0.86,148.014,spotify:track:364dI1bYnvamSnBJ8JcNzN,212869.0,4.0
120,Intentions,Quavo,0.811,0.553,9.0,-6.644,1.0,0.0552,0.317,0.0,0.105,0.86,148.014,spotify:track:364dI1bYnvamSnBJ8JcNzN,212869.0,4.0
121,"10,000 Hours (with Justin Bieber)",Dan + Shay,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
122,"10,000 Hours (with Justin Bieber)",Justin Bieber,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
123,Take You Dancing,Jason Derulo,0.789,0.711,2.0,-4.248,1.0,0.041,0.0332,0.0,0.0876,0.753,112.985,spotify:track:59qrUpoplZxbIZxk6X0Bm3,190306.0,4.0
124,Lose You To Love Me,Selena Gomez,0.488,0.343,4.0,-8.985,1.0,0.0436,0.556,0.0,0.21,0.0978,102.819,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,206459.0,4.0
125,Break My Heart,Dua Lipa,0.73,0.729,4.0,-3.434,0.0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,spotify:track:017PF4Q3l4DBUiWoXk4OWT,221820.0,4.0
126,Before You Go,Lewis Capaldi,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,215107.0,4.0
127,Rain On Me (with Ariana Grande),Lady Gaga,0.672,0.855,9.0,-3.764,1.0,0.0397,0.021,0.0,0.323,0.646,123.056,spotify:track:7ju97lgwC2rKQ6wwsf9no9,182200.0,4.0
